5	header
postResults v2.0.2	--cr f,p --co totalshear geom_load.spectralOut
addCauchy v2.0.2	postProc/geom_load.txt
addStrainTensors v2.0.2	--logarithmic --left postProc/geom_load.txt
addMises v2.0.2	--stress Cauchy --strain ln(V) postProc/geom_load.txt
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p	totalshear	1_Cauchy	2_Cauchy	3_Cauchy	4_Cauchy	5_Cauchy	6_Cauchy	7_Cauchy	8_Cauchy	9_Cauchy	1_ln(V)	2_ln(V)	3_ln(V)	4_ln(V)	5_ln(V)	6_ln(V)	7_ln(V)	8_ln(V)	9_ln(V)	Mises(ln(V))	Mises(Cauchy)
20	nan	nan	1	1	0.5	0.5	0.5	1.00089333333	3.36972702039e-22	-2.64416037621e-21	-7.775497758e-23	0.99968400101	1.4638385887e-20	-3.99373139498e-23	-6.65970865985e-22	0.999686339843	60174447.9101	22065.6139512	20735.0941619	22038.9420749	-13667.2675994	-7470.44910117	20710.0773318	-7470.4743007	-13066.3730627	8.02218490307e-05	60212355.2023	22052.8366927	20723.1358339	22052.8256525	-13659.353466	-7466.14074936	20723.1237822	-7466.14846677	-13058.8374338	0.000892934545262	0.0	0.0	0.0	-0.000316048928201	0.0	0.0	0.0	-0.000313709358636	0.000805210258739	60225738.4969
21	nan	nan	1	1	0.5	0.5	0.5	1.00092266667	4.94654006307e-22	-1.00600672123e-21	-1.12651659672e-22	0.999671289155	-3.49973267082e-20	-4.00148621323e-23	7.24067379319e-22	0.999674023416	61156972.2436	26347.4718986	19534.3055269	26314.5216528	-15255.815031	-4642.19617723	19509.9227618	-4642.21612289	-14586.3097195	0.000113701669198	61197030.6128	26331.7679135	19522.7158172	26331.7579022	-15246.7220488	-4639.44196075	19522.7019374	-4639.44920494	-14577.6556573	0.000922241274753	0.0	0.0	0.0	-0.000328764882252	0.0	0.0	0.0	-0.000326029725916	0.000833093882539	61211969.6624
22	nan	nan	1	1	0.5	0.5	0.5	1.000952	7.69277969674e-23	-8.10481903937e-22	-5.88332210678e-23	0.999658204041	7.41590101997e-20	-9.85895892587e-23	7.92283930461e-23	0.999661376718	61973326.5694	31128.5404105	18053.680349	31088.2976966	-14659.0490517	-1045.93716231	18030.3870425	-1045.94635565	-14013.9149942	0.000152553811492	62015515.942	31109.4686155	18042.6765058	31109.4615722	-14650.0677639	-1045.29965637	18042.6615283	-1045.30552655	-14005.373416	0.000951547135395	0.0	0.0	0.0	-0.000341854384552	0.0	0.0	0.0	-0.00033868062781	0.000861211710386	62029874.9669
23	nan	nan	1	1	0.5	0.5	0.5	1.00098133333	6.46596745075e-22	7.15216546765e-21	8.27180612553e-25	0.999644818903	-4.26495616302e-21	-9.65474871214e-23	2.65583137766e-22	0.999648464836	62656908.8084	36252.4533873	16416.3355237	36204.0454752	-12704.5680462	3008.35793228	16394.4607538	3008.3650736	-12153.4599451	0.000195754790308	62701212.9464	36229.6485194	16406.0685456	36229.6450309	-12696.5761458	3006.47646824	16406.0531299	3006.4726398	-12145.8590218	0.000980852137229	0.0	0.0	0.0	-0.000355244188746	0.0	0.0	0.0	-0.000351596966971	0.0008895176358	62713672.2146
24	nan	nan	1	1	0.5	0.5	0.5	1.00101066667	-7.22542265065e-22	1.79916953109e-21	9.09898673808e-23	0.999631199155	-5.67749630593e-20	1.86632625707e-23	-1.10324567964e-21	0.999635346222	63238099.8777	41578.9987254	14750.3899384	41521.6991978	-10369.4442318	7208.19120783	14730.1085908	7208.21979799	-9942.49689853	0.000242354337039	63284507.6816	41552.1708012	14740.9337313	41552.170241	-10362.7535785	7203.57016734	14740.9184031	7203.56885447	-9936.12294432	0.00101015629029	0.0	0.0	0.0	-0.000368868868757	0.0	0.0	0.0	-0.000364720280356	0.000917970368026	63294704.418
25	nan	nan	1	1	0.5	0.5	0.5	1.00104	3.91876815197e-23	1.06649430352e-20	1.14461117262e-22	0.999617399709	-7.77428542141e-20	1.44239619314e-23	-7.42136105825e-22	0.999622069819	63741815.7889	46990.5477483	13170.6492959	46923.7696959	-8192.94156484	11297.2584607	13151.9787845	11297.3126264	-7889.92798575	0.000291569218061	63790321.048	46959.475754	13162.0018369	46959.477019	-8187.52407035	11289.8410148	13161.9869735	11289.8423999	-7884.74769229	0.00103945957466	0.0	0.0	0.0	-0.000382673501165	0.0	0.0	0.0	-0.000378001614609	0.000946535264937	63798416.1018
26	nan	nan	1	1	0.5	0.5	0.5	1.00106933333	-5.10060245216e-22	-4.28562275364e-21	2.4774059346e-22	0.999603463927	6.18108386285e-20	9.09898673808e-23	4.28563567833e-22	0.99960867401	64187152.2425	52391.4939193	11769.1142384	52314.778882	-6339.67316746	15092.7305479	11751.9277411	15092.8131191	-6144.63534684	0.000342798154111	64237752.7628	52356.0180636	11761.2063181	52356.0200797	-6335.38038415	15082.5894186	11761.1921131	15082.5933216	-6140.50663457	0.00106876200037	0.0	0.0	0.0	-0.000396614714218	0.0	0.0	0.0	-0.000391402577996	0.000975185073937	64244063.2494
27	nan	nan	1	1	0.5	0.5	0.5	1.00109866667	-4.67977431552e-22	2.55692901074e-20	3.22910631625e-22	0.999589424182	1.56397494108e-19	7.46013514946e-23	2.00966760994e-21	0.999595187226	64588112.1711	57706.3199008	10612.8289519	57619.3246458	-4829.60149777	18479.2693217	10596.876888	18479.3818614	-4720.79296436	0.000395598179087	64640808.8055	57666.333538	10605.5361635	57666.3355334	-4826.25492848	18466.5709732	10605.5227476	18466.5769681	-4717.54899008	0.00109806357747	0.0	0.0	0.0	-0.000410660127329	0.0	0.0	0.0	-0.00040489473281	0.00100389952348	64645668.3909
28	nan	nan	1	1	0.5	0.5	0.5	1.001128	4.74905069182e-22	-1.73631414429e-20	4.15141269925e-22	0.99957530387	-2.52255526189e-19	3.63959469523e-23	-7.44785668725e-23	0.9995816299	64954736.5136	62877.6096552	9745.42217983	62780.0912586	-3649.24140556	21394.6870364	9730.35659957	21394.8299596	-3604.40491122	0.000449649378417	65009532.304	62833.0510957	9738.57766581	62833.0525191	-3646.65535082	21379.6608802	9738.56512461	21379.6683972	-3601.8734252	0.00112736428601	0.0	0.0	0.0	-0.000424786338943	0.0	0.0	0.0	-0.000418457641187	0.00103266398166	65013260.3917
29	nan	nan	1	1	0.5	0.5	0.5	1.00115733333	-1.24294226794e-21	4.36015172683e-20	3.97046694025e-22	0.999561119808	1.03747060378e-20	2.93442322303e-22	-2.72872343797e-21	0.999568016718	65294198.2378	67863.8678213	9189.92518893	67755.6683624	-2766.2307044	23814.8929331	9175.32486322	23815.0657867	-2765.26266283	0.000504721609857	65351097.732	67814.7123203	9183.33205969	67814.7128619	-2764.22705415	23797.8074113	9183.32054059	23797.8159375	-2763.27878007	0.00115666413605	0.0	0.0	0.0	-0.000438976528099	0.0	0.0	0.0	-0.000432076613657	0.00106146794662	65353981.9713
